Player,Position,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),Sprint Distance (m)
YuHan,M,8/15 Training 3,260.0,4.0,43.333333333333336,7.0,5.0
YuHan,M,8/15 Training total,1870.0,4.0,46.75,9.2,70.0
YuHan,M,8/16 Training 1,1530.0,7.0,72.85714285714286,8.8,127.0
YuHan,M,8/16 Training 2,440.0,7.0,55.0,5.6,0.0
YuHan,M,8/16 Training 3,580.0,7.0,82.85714285714286,6.8,6.0
YuHan,M,8/16 Training 4,440.0,7.0,55.0,7.4,19.0
YuHan,M,8/16 Training 5,350.0,7.0,50.0,5.1,0.0
YuHan,M,8/16 Training 6,310.0,7.0,44.285714285714285,6.5,4.0
YuHan,M,8/16 Training 7,430.0,7.0,47.77777777777778,6.6,3.0
YuHan,M,8/16 Training 8,590.0,7.0,53.63636363636363,4.9,0.0
YuHan,M,8/16 Training 9,390.0,7.0,48.75,6.3,1.0
YuHan,M,8/16 Training 10,0.0,7.0,0.0,0.0,0.0
YuHan,M,8/16 Training 11,0.0,7.0,0.0,0.0,0.0
YuHan,M,8/16 Training total,5060.0,7.0,46.851851851851855,8.8,160.0
Sydney,A/M,1/10 Pre Game,1290.0,,49.61538461538461,6.6,3.0
Sydney,A/M,1/10 九州 1,1100.0,,64.70588235294117,9.0,11.0
Sydney,A/M,1/10 九州 2,960.0,,64.0,8.3,12.0
Sydney,A/M,1/10 九州 3,1000.0,,58.8235294117647,7.3,1.0
Sydney,A/M,1/10 九州 4,1070.0,,66.875,7.4,8.0
Sydney,A/M,1/10 九州 5,750.0,,50.0,6.5,3.0
Sydney,A/M,1/10 Total,4880.0,,61.0,9.0,35.0
Sydney,A/M,1/11 Pre Game,2140.0,,42.8,4.8,0.0
Sydney,A/M,1/11 福岡 1,1180.0,,69.41176470588235,8.2,46.0
Sydney,A/M,1/11 福岡 2,840.0,,52.5,5.3,0.0
Sydney,A/M,1/11 福岡 3,680.0,,42.5,7.4,16.0
Sydney,A/M,1/11 福岡 4,1180.0,,65.55555555555556,8.0,37.0
Sydney,A/M,1/11 福岡 5,910.0,,65.0,7.9,11.0
Sydney,A/M,1/11 福岡 6,1100.0,,64.70588235294117,8.1,24.0
Sydney,A/M,1/11 福岡 7,1010.0,,77.6923076923077,8.4,9.0
Sydney,A/M,1/11 福岡 8,870.0,,58.0,6.9,10.0
Sydney,A/M,1/11 Total,7770.0,,61.666666666666664,8.4,153.0
Linda,M,3/17 HK 1,5880.0,,58.8,8.3,92.0
Linda,M,3/17 HK 2,920.0,,65.71428571428571,8.7,17.0
Linda,M,3/17 Total,6800.0,,59.64912280701754,8.7,109.0
Linda,M,3/18 明治 1,630.0,,78.75,6.9,10.0
Linda,M,3/18 明治 2,900.0,,112.5,9.1,126.0
Linda,M,3/18 明治 3,690.0,,86.25,7.3,18.0
Linda,M,3/18 明治 4,800.0,,88.88888888888889,7.0,9.0
Linda,M,3/18 Total,3020.0,,91.51515151515152,9.1,163.0
Linda,M,3/19 Revengers 1,910.0,,101.11111111111111,8.2,30.0
Linda,M,3/19 Revengers 2,710.0,,78.88888888888889,5.6,0.0
Linda,M,3/19 Revengers 3,910.0,,101.11111111111111,6.7,5.0
Linda,M,3/19 Revengers 4,800.0,,88.88888888888889,6.0,0.0
Linda,M,3/19 Total,3330.0,,100.9090909090909,8.2,35.0
Tabitha,M,6/18 1,1060.0,,81.53846153846153,7.3,31.0
Tabitha,M,6/18 2,1320.0,,77.6470588235294,7.0,14.0
Tabitha,M,6/18 3,890.0,,59.333333333333336,6.7,7.0
Tabitha,M,6/18 4,1270.0,,63.5,7.9,19.0
Tabitha,M,6/18 total,4540.0,,69.84615384615384,7.9,71.0
Tabitha,M,6/19 Switzerland 1,1090.0,,68.125,6.5,2.0
Tabitha,M,6/19 Switzerland 2,1220.0,,55.45454545454545,7.5,40.0
Tabitha,M,6/19 Switzerland 3,860.0,,33.07692307692308,7.0,7.0
